County,state,cases,deaths,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
Scott County,Virginia,5847,111,24.9,17.8,4.1,13.3,81.4,890,0.3,0.2,0.9,1.5,0.1,0.9,97.6,96.4,77.4,8773,11966,94800,2.41,39820,22898,1.2,535.53,1.7,90.7,486781,29.3,49.7,1498,21576,23177,43.3,-1,210545,1151,392,650,0,1080,25,1068
Grayson County,Virginia,4059,83,25.3,16.5,4,13.7,81.3,989,0.3,0.2,5.7,3.8,0,1.2,92.5,89.1,81.3,6498,9256,102900,2.25,36544,21663,2.2,442.18,5.1,90,-1,26.1,48.6,981,15333,15533,35.1,4419,40503,1476,387,861,0,1416,113,1269
Fauquier County,Virginia,13267,144,16.9,23.1,5.7,36.4,92.5,6592,0.5,1.7,7.8,9.2,0.1,2.8,87,79,78.3,24562,27398,395500,2.82,100783,45408,6.4,647.45,9.1,89.5,137765,41,50.6,6120,72972,65203,100.7,108134,920778,6836,2258,3713,692,5908,794,5625
Albemarle County,Virginia,18671,163,19.3,19.7,5.2,55.1,92.1,9931,0.4,5.5,9.7,5.8,0.1,2.6,81.8,76.9,63.3,41496,47081,356100,2.42,79880,44799,10.4,720.7,11.7,80.2,786381,22,52.1,6705,112395,98970,137.3,230570,1497509,11062,3967,5716,1236,9370,1306,8936
Loudoun County,Virginia,71890,384,9.7,27.9,6.8,61.3,93.9,37251,0.5,20.3,8.1,13.9,0.1,3.9,67,54.8,78,128637,139974,508100,3.06,142299,55744,24.5,515.56,31.6,87.4,1636892,34.5,50.4,21956,420959,312311,605.8,877045,5140369,33392,12179,17450,12053,19974,2922,28790
Clarke County,Virginia,2679,42,21.8,19.5,4.4,32.2,89.1,1426,0.7,1.4,4.7,6.4,0.1,2.5,90.6,85.3,75,5612,6396,347200,2.54,80026,41332,3.5,176.18,6.1,90.1,89778,38.1,50.5,1095,14783,14034,79.7,-1,81456,1596,579,841,120,1441,236,1304
Alleghany County,Virginia,3572,98,25.5,18.3,4.4,15,86,644,0.3,0.3,4.7,1.6,0.1,1.9,92.8,91.4,76.2,6600,8010,119700,2.24,47673,27338,1.3,445.46,1.8,91.3,-1,25.6,51.1,1042,15223,16250,36.5,14048,75144,893,189,596,38,821,104,754
Culpeper County,Virginia,11593,149,16,24.7,6.5,25.7,86.1,3758,0.8,1.7,14.6,11.6,0.2,3.3,79.4,69.8,72.7,17071,19239,298900,2.91,77935,32028,8.8,379.23,12.4,87.2,563583,38.2,50.1,3795,52552,46689,123.1,59342,550139,4073,1406,2078,477,3331,363,3369
Sussex County,Virginia,2425,42,18.6,15.2,4,12.7,80.3,461,0.6,0.5,56.1,3.3,0,1.6,41.3,38.9,69.2,3794,4837,125800,2.38,49487,21652,2.3,490.22,4.7,84.8,-1,34.9,40.4,974,10829,12087,24.7,11703,112569,530,253,250,152,353,0,485
Rappahannock County,Virginia,1051,10,27.9,16.2,3.9,35.8,88.4,953,0.4,1,4.2,4.4,0.1,2,92.4,88.3,74.2,2913,3998,377700,2.53,74284,41792,4.4,266.23,5.3,93.3,-1,39.9,50.8,629,7348,7373,27.7,-1,29306,938,259,598,0,904,99,825
Surry County,Virginia,1110,20,23.9,16.6,4.5,20.6,85,392,0.5,0.5,41.5,2.7,0.1,2.2,55.2,53.3,74.3,2730,3611,197800,2.39,57962,30260,1.1,278.95,1.3,93.3,-1,41.3,50.4,707,6561,7058,25.3,1606,14869,244,59,146,74,158,0,222
Smyth County,Virginia,8896,171,22.6,19.1,4.7,14.6,83.3,1397,0.2,0.5,2.5,2,0,1.1,95.7,94,71.5,12686,15352,95800,2.36,40932,21605,1.4,450.93,2.6,88.2,832988,21.9,51.1,2147,29800,32208,71.4,28962,271994,2013,644,1192,44,1890,294,1608
Chesterfield County,Virginia,75487,760,15.4,23.5,6,40.5,92.3,24896,0.6,3.7,24.5,9.5,0.1,2.9,68.2,60.6,75.8,124971,134267,241200,2.72,82599,37658,8.6,423.3,11.9,87.2,3845325,26.6,51.8,25184,364548,316236,747.1,514490,4657329,23311,8455,12333,6470,15928,2847,19274
Nelson County,Virginia,2707,36,28.2,17.8,4.7,30.4,85.7,1286,0.6,0.8,11.4,4.3,0,2.3,85,81.6,76.4,6419,10240,235000,2.29,64313,35489,2.9,470.86,4.3,93.2,-1,30.6,51.7,1207,14775,15020,31.9,6419,115108,1587,463,927,97,1431,131,1350
Prince George County,Virginia,8917,79,14.4,22,5.8,23.6,90.6,1558,0.7,2.2,32.6,8.6,0.4,3.7,60.3,54.2,67.6,11507,12605,213300,2.96,71912,29420,3.2,265.16,7.8,83.4,602915,25.2,46.3,4654,43010,35725,134.7,39319,260725,1754,608,902,526,1121,356,1235
Buckingham County,Virginia,3993,57,20.2,17.7,4.1,12.5,79.8,788,0.4,0.4,33.7,2.4,0,2.1,63.3,61.3,75.2,5826,7479,130300,2.56,49025,20605,1.4,579.66,2.2,90.2,-1,36.3,45.1,1237,16824,17146,29.6,-1,82977,685,274,367,128,534,0,635
Wise County,Virginia,10306,199,19.2,19.1,4.6,15,75.9,1510,0.2,0.4,5.8,1.2,0,1.1,92.5,91.4,66.6,14925,17916,85500,2.37,38888,21500,1.1,403.19,1.7,86.2,-1,22.3,47.9,2193,36130,41452,102.8,42130,500864,2086,633,1016,29,1961,274,1709
Lee County,Virginia,6214,94,22.2,18.5,4.5,11.2,76.7,1044,0.4,0.3,3.7,2,0,1,94.5,92.9,70.8,9149,11781,88100,2.45,32888,19720,1.3,435.52,2.7,88.3,-1,31.5,47.9,1402,22173,25587,58.8,-1,208128,1530,394,779,0,1482,125,1258
